[DEBUG] 2018-11-05 16:57:41.648 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3472dd0b
[DEBUG] 2018-11-05 16:57:41.648 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3472dd0b
[DEBUG] 2018-11-05 16:57:41.649 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@7d4c00f
[DEBUG] 2018-11-05 16:57:41.649 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@7d4c00f
[DEBUG] 2018-11-05 16:57:41.649 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@7d4c00f
[DEBUG] 2018-11-05 16:57:41.650 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@5271288b
[DEBUG] 2018-11-05 16:57:41.650 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@23765729
[DEBUG] 2018-11-05 16:57:41.651 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6a336b79
[DEBUG] 2018-11-05 16:57:41.651 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6a336b79
[DEBUG] 2018-11-05 16:57:41.651 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6a336b79
[DEBUG] 2018-11-05 16:57:41.652 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4de786c9
[DEBUG] 2018-11-05 16:57:41.652 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4de786c9
[DEBUG] 2018-11-05 16:57:41.652 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4de786c9
[DEBUG] 2018-11-05 16:57:41.652 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@782433fb
[DEBUG] 2018-11-05 16:57:41.653 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@1aebfee8
[DEBUG] 2018-11-05 16:57:41.656 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@598baa3f
[DEBUG] 2018-11-05 16:57:41.656 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@598baa3f
[DEBUG] 2018-11-05 16:57:41.657 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@86a4c1b
[DEBUG] 2018-11-05 16:57:41.661 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@39c31ee4
[DEBUG] 2018-11-05 16:57:41.661 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@39c31ee4
[DEBUG] 2018-11-05 16:57:41.671 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@617f3a9d
[DEBUG] 2018-11-05 16:57:41.671 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@617f3a9d
[DEBUG] 2018-11-05 16:57:41.671 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@60f43318
[DEBUG] 2018-11-05 16:57:41.671 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@15ef6d1b
[DEBUG] 2018-11-05 16:57:41.673 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@21c28b66
[DEBUG] 2018-11-05 16:57:41.683 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@ccedacb
[DEBUG] 2018-11-05 16:57:41.683 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@ccedacb
[DEBUG] 2018-11-05 16:57:41.684 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@68e58159
[DEBUG] 2018-11-05 16:57:41.684 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@1207060c
[DEBUG] 2018-11-05 16:57:41.684 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@4b5bbabc
[DEBUG] 2018-11-05 16:57:41.684 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@15dd275d
[DEBUG] 2018-11-05 16:57:41.684 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@51f683f6
[DEBUG] 2018-11-05 16:57:41.684 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@7bebc8a2
[DEBUG] 2018-11-05 16:57:41.685 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6df30339
[DEBUG] 2018-11-05 16:57:41.685 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@11e82615
[INFO ] 2018-11-05 16:57:41.694 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH010002: C3P0 using driver: null at URL: null
[INFO ] 2018-11-05 16:57:41.694 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001001: Connection properties: {}
[INFO ] 2018-11-05 16:57:41.694 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[WARN ] 2018-11-05 16:57:41.694 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001006: No JDBC Driver class was specified by property hibernate.connection.driver_class
[INFO ] 2018-11-05 16:57:41.977 [http-nio-8080-exec-1] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2018-11-05 16:58:12.095 [http-nio-8080-exec-1] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
